Player,Pos,Age,G,3P,3PA,PTS,TRB,AST,threes_made,threes_trials
Jared Butler,SG,23,40,24,78,251,58,126,24,78
Brice Sensabaugh,SF,20,32,34,115,241,102,55,34,115
Gary Payton II,SG,31,44,20,55,240,113,48,20,55
John Konchar,SF,27,55,38,120,235,257,110,38,120
Justin Holiday,SG,34,58,55,136,234,71,67,55,136
Chris Duarte,SF,26,59,44,127,230,106,44,44,127
Julian Strawther,SF,21,50,41,138,227,61,47,41,138
Sasha Vezenkov,PF,28,42,45,120,225,96,19,45,120
Bol Bol,PF,24,43,22,52,223,137,17,22,52
Kevin Knox,SF,24,31,31,94,223,75,23,31,94
Tari Eason,PF,22,22,18,50,215,153,27,18,50
Jalen Wilson,PF,23,43,24,74,214,131,45,24,74
MarJon Beauchamp,SF,23,48,30,75,211,99,31,30,75
Cody Martin,SF,28,28,27,86,211,109,104,27,86
Eugene Omoruyi,SF,26,43,13,46,207,85,35,13,46
Oshae Brissett,SF,25,55,15,55,201,160,44,15,55
JT Thor,PF,21,63,28,81,199,146,29,28,81
Jordan McLaughlin,PG,27,56,42,89,195,72,110,42,89
Maxi Kleber,C,32,43,32,92,191,143,68,32,92
Derrick Rose,PG,35,24,15,41,191,45,78,15,41
Sandro Mamukelashvili,C,24,46,19,64,190,147,49,19,64
Anthony Gill,PF,31,50,10,41,189,94,34,10,41
Dalen Terry,SG,21,59,17,74,180,113,81,17,74
Luka Šamanić,PF,24,43,13,64,177,102,19,13,64
Ricky Council IV,SG,22,32,12,32,173,46,16,12,32
Jalen McDaniels,SF,26,50,12,71,169,79,37,12,71
Patrick Baldwin Jr.,SF,21,38,31,97,168,123,29,31,97
Brandon Boston Jr.,SF,22,32,14,52,167,52,13,14,52
Lester Quiñones,SG,23,37,32,88,164,72,36,32,88
Svi Mykhailiuk,SF,26,41,42,108,162,51,35,42,108
Rayan Rupert,SG,19,39,28,78,155,92,62,28,78
Javon Freeman-Liberty,PG,24,22,10,42,153,70,40,10,42
Johnny Davis,SG,21,50,14,40,152,72,32,14,40
Nassir Little,SF,23,45,21,70,152,75,21,21,70
Matt Ryan,SF,26,28,41,91,152,40,18,41,91
Danuel House Jr.,SF,30,34,15,50,144,58,28,15,50
Johnny Juzang,SG,22,20,32,77,144,36,23,32,77
Lindy Waters III,SG,26,38,37,85,137,40,24,37,85
A.J. Lawson,SG,23,42,13,50,136,50,20,13,50
Vit Krejci,PG,23,22,28,68,135,52,50,28,68
Noah Clowney,PF,19,23,12,33,133,81,18,12,33
Ousmane Dieng,PF,20,33,21,70,133,51,37,21,70
Stanley Umude,SG,24,24,24,53,127,51,11,24,53
Andre Jackson Jr.,SG,22,57,17,46,125,113,50,17,46
Olivier-Maxence Prosper,PF,21,40,13,45,121,79,22,13,45
Jarace Walker,PF,20,33,22,55,120,63,40,22,55
Jontay Porter,PF,24,26,20,60,115,82,60,20,60
Jeremiah Robinson-Earl,PF,23,39,13,39,115,76,21,13,39
Devonte' Graham,PG,28,23,25,83,114,36,49,25,83
Isaiah Livers,PF,25,23,22,77,114,48,25,22,77
Wesley Matthews,SG,37,36,24,69,110,53,23,24,69
Chuma Okeke,SF,25,47,23,82,107,80,20,23,82
Luka Garza,C,25,25,9,32,99,31,4,9,32
Jamal Cain,PF,24,26,11,31,97,37,10,11,31
Reggie Bullock,SF,32,44,27,67,96,73,15,27,67
Kessler Edwards,SF,23,54,20,52,93,42,15,20,52
Kobe Brown,PF,24,44,14,48,89,62,25,14,48
Julian Phillips,SF,20,40,12,38,89,36,13,12,38
Furkan Korkmaz,SG,26,35,14,40,88,30,25,14,40
Garrett Temple,SG,37,27,12,40,88,45,28,12,40
Collin Gillespie,PG,24,24,15,38,87,21,27,15,38
Onuralp Bitim,SG,24,23,12,44,80,32,13,12,44
Markieff Morris,PF,34,26,15,42,66,39,16,15,42
Cory Joseph,PG,32,26,13,42,63,30,42,13,42
Justin Minaya,SF,24,34,12,49,61,56,21,12,49
AJ Griffin,SF,20,20,10,39,48,18,5,10,39
